action step time_in_state q sp state_reward transition_reward
[serve_last] 110 0.3891023280248463 0 1 0.0 0.0
[request] 111 0.008778456333372776 1 2 1.0 0.0
[serve_last] 112 0.018903978311517206 0 1 0.0 0.0
[request] 113 0.004161200891889842 1 2 1.0 0.0
[serve_last] 114 0.6205621107009729 0 1 0.0 0.0
[request] 115 0.003586434176633268 1 2 1.0 0.0
[serve_last] 116 0.0186889396607332 0 1 0.0 0.0
[request] 117 0.0010056903843671668 1 2 1.0 0.0
[serve_last] 118 0.27344403938317385 0 1 0.0 0.0
[request] 119 0.007685175186391367 1 2 1.0 0.0
[serve_last] 120 0.11693703604968093 0 1 0.0 0.0
[request] 121 0.0010834709209705065 1 2 1.0 0.0
[serve_last] 122 0.9368041320744193 0 1 0.0 0.0
[request] 123 0.005666904422618722 1 2 1.0 0.0
[serve_last] 124 0.5162571596552487 0 1 0.0 0.0
[request] 125 0.0029485726716239934 1 2 1.0 0.0
[serve_last] 126 0.022941531938986046 0 1 0.0 0.0
[request] 127 0.00848916889179876 1 2 1.0 0.0
[serve_last] 128 0.8657846212941452 0 1 0.0 0.0
[request] 129 0.0012619825001415155 1 2 1.0 0.0
[serve_last] 130 0.05991204185553159 0 1 0.0 0.0
[request] 131 0.01775052058248149 1 2 1.0 0.0
[serve_last] 132 1.755464914158818 0 1 0.0 0.0
[request] 133 0.0025712633632220525 1 2 1.0 0.0
[serve_last] 134 0.9496357568687581 0 1 0.0 0.0
[request] 135 0.005157129102306748 1 2 1.0 0.0
[serve_last] 136 0.04274342161277688 0 1 0.0 0.0
[request] 137 0.0027269846028883213 1 2 1.0 0.0
[serve_last] 138 0.6214644908788036 0 1 0.0 0.0
[request] 139 0.007345905778366395 1 2 1.0 0.0
[serve_last] 140 3.116767976032668 0 1 0.0 0.0
[request] 141 0.005417002326412859 1 2 1.0 0.0
[serve_last] 142 0.368810127473528 0 1 0.0 0.0
[request] 143 0.002218072380657539 1 2 1.0 0.0
[serve_last] 144 1.2098009176981444 0 1 0.0 0.0
[request] 145 0.0010307023818991227 1 2 1.0 0.0
[serve_last] 146 1.0498222132625847 0 1 0.0 0.0
[request] 147 0.007969197415613508 1 2 1.0 0.0
[serve_last] 148 1.688004369132527 0 1 0.0 0.0
[request] 149 0.0024389764391943903 1 2 1.0 0.0
[serve_last] 150 0.4872240098648789 0 1 0.0 0.0
[request] 151 0.01488160091772053 1 2 1.0 0.0
[serve_last] 152 0.4011262415220785 0 1 0.0 0.0
[request] 153 0.0072465155607996535 1 2 1.0 0.0
[serve_last] 154 2.6622295546424763 0 1 0.0 0.0
[request] 155 0.009657846003399754 1 2 1.0 0.0
[serve_last] 156 0.32771845894671353 0 1 0.0 0.0
[request] 157 0.004663535593148712 1 2 1.0 0.0
[serve_last] 158 0.7009206547982937 0 1 0.0 0.0
[request] 159 0.0043065394170043935 1 2 1.0 0.0
[serve_last] 160 0.37084771293274277 0 1 0.0 0.0
[request] 161 0.004178014668021982 1 2 1.0 0.0
